Date,User,Duration,Project,Activity,Description
"2025-06-13","Unknown","8.00","","","Kimai Test on bug fixes"
"2025-06-13","Unknown","0.50","","",""
"2025-06-13","Unknown","0.25","","","STATUS DEMO"
"2025-06-13","Unknown","0.50","","",""
"2025-06-13","Unknown","7.50","","",""
"2025-06-13","Unknown","0.50","","","Raheel; Mike Meeting and Yulia McCoy for figma"
"2025-06-13","Unknown","3.50","","","Avatars - editing photos"
"2025-06-13","Unknown","0.25","","",""
"2025-06-13","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-13","Unknown","0.50","","","1:1 Mikhail - Confluence; Jira; Pay period; Hourly expectations"
"2025-06-13","Unknown","6.50","","","Bookmarked items not get without reload"
"2025-06-13","Unknown","0.50","","","1:1 Yulia - Avatars update and discussing other files in Graphics (tables plugins)"
"2025-06-13","Unknown","0.67","","","Avatars - editing photos"
"2025-06-13","Unknown","0.33","","","Daily Fires - discussed payment and weekly hour expectations"
"2025-06-13","Unknown","1.00","","","Avatars - editing photos"
"2025-06-13","Unknown","1.00","","","The Business Model Canvas: Finished implementing variables Choosing the Right Legal Structure for Your Startup: Started implementing variables"
"2025-06-12","Unknown","8.00","","","Kimai Bug Fix and code changes"
"2025-06-12","Unknown","8.50","","","Onboarding: add ampm/24 hours option and timezone selection"
"2025-06-12","Unknown","0.50","","",""
"2025-06-12","Unknown","2.75","","","The Business Model Canva - editing fonts and layout Design System - created new variables"
"2025-06-12","Unknown","1.00","","","Trying to work components into avatars. Avatar with Figma strokes? Avatar from PNG? Seems like there are many different ways we created the avatars. Currently seeking the most efficient way. Will inquire Yulia tomorrow in a meeting."
"2025-06-12","Unknown","0.67","","","Avatar variables"
"2025-06-12","Unknown","0.50","","","Yulia explains creating a variable in the Designs System and auto layout functions mishaps"
"2025-06-12","Unknown","0.50","","",""
"2025-06-12","Unknown","7.50","","",""
"2025-06-12","Unknown","0.25","","",""
"2025-06-12","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-12","Unknown","7.00","","","Get Current Onboarding Process service"
"2025-06-12","Unknown","4.50","","","Fix toggle dropdown in courses"
"2025-06-11","Unknown","8.00","","","Kimai Bug Fix and code changes"
"2025-06-11","Unknown","3.50","","","Scenario Feedback Fixed"
"2025-06-11","Unknown","0.50","","",""
"2025-06-11","Unknown","8.00","","","made routes common constant"
"2025-06-11","Unknown","1.00","","","The Business Model Canva - Editing fonts and layout."
"2025-06-11","Unknown","1.00","","","Competitor Analysis Worksheet for Startup Founders Pages 1-8 (Variables for color) and Start The Business Model Canvas (Variables for font and spacing)."
"2025-06-11","Unknown","0.50","","",""
"2025-06-11","Unknown","0.50","","","Scenario Feedback Fixed"
"2025-06-11","Unknown","7.50","","",""
"2025-06-11","Unknown","0.25","","",""
"2025-06-11","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-11","Unknown","4.00","","","Test Task Brochure & Figma"
"2025-06-11","Unknown","2.50","","","Competitor Analysis Worksheet for Startup Founders Pages 1-8 (Variables for font and spacing; not color)"
"2025-06-11","Unknown","0.50","","","Yulia introduced me to the Figma file and explained how she needed me to work on adding variables and setting consistent padding with auto layout."
"2025-06-11","Unknown","6.00","","","Fix toggle dropdown in courses"
"2025-06-10","Unknown","8.00","","","Kimai Bug Fix and code changes"
"2025-06-10","Unknown","2.00","","","Fix Founders page"
"2025-06-10","Unknown","0.50","","",""
"2025-06-10","Unknown","11.95","","","Test Task: Designed the Live Workshop Card aligned with our brand’s theme. After initial delivery; I spent an additional 4 hours retouching the design—making enhancements such as adding a button to the previously submitted design—before resubmitting the final version."
"2025-06-10","Unknown","0.50","","",""
"2025-06-10","Unknown","7.50","","",""
"2025-06-10","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-10","Unknown","0.25","","",""
"2025-06-10","Unknown","7.50","","","refactor auth redirect route path"
"2025-06-10","Unknown","2.75","","","Added myself under Starthub ID labs."
"2025-06-10","Unknown","3.50","","","Fix Founders page"
"2025-06-09","Unknown","8.00","","","Working on Kimai PHP bug and chart edits"
"2025-06-09","Unknown","4.50","","","Investigate signup issue"
"2025-06-07","Unknown","0.50","","",""
"2025-06-07","Unknown","2.50","","",""
"2025-06-07","Unknown","0.50","","","Reviewed PR https://github.com/StartHub-Academy/StartHub from Robert"
"2025-06-02","Unknown","16.02","","","Continued from the previous day tasks:  Designed Email Templates and Document Cards/Thumbnails using Figma; Canva; and Adobe Illustrator — incorporating custom illustration vectors and layouts to ensure visually engaging and brand-consistent assets. Created over 10 variations for each. With minor minutes breaks."
