Date,User,Duration,Project,Activity,Description
"2025-06-28","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-27","Unknown","0.75","","","Design team sync up + meeting with Mike"
"2025-06-27","Unknown","4.00","","","Resolved comments from Mike on Graphics; Tools and templates and admin dashboard views.Created couple variations of deals and discounts admin views."
"2025-06-26","Unknown","8.00","","","Fixed Scenario issue and working on Bookmark"
"2025-06-26","Unknown","4.00","","","Continued with Email Templates Card Design."
"2025-06-26","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-26","Unknown","6.00","","","Graphics. Implemented changes from Mike's comments. Created 3 more variations for "6 circles futures". Created new variation of skeleton loader for the fonts."
"2025-06-25","Unknown","8.00","","","User preference for timezone and time format v2"
"2025-06-25","Unknown","5.37","","","Designed other cards on Version 1; retouched other versions; updated colors to variables on all Version 1 cards; Synced with Mik; and started V6; sketched other protypes outside Figma."
"2025-06-25","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-24","Unknown","8.50","","","User preference for timezone and time format v2"
"2025-06-24","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-24","Unknown","2.25","","","Meeting with Mike + Hamin's onboarding + Design sync"
"2025-06-24","Unknown","4.00","","","Started to work on the comments from Mike on the Booking page. Created a new variation of 6 futures in Graphics."
"2025-06-24","Unknown","3.00","","","Onboarding: add ampm/24 hours option and timezone selection"
"2025-06-23","Unknown","5.00","","","1-on-1 Coaching feedback"
"2025-06-23","Unknown","0.50","","",""
"2025-06-23","Unknown","1.50","","","Status Demo + Status"
"2025-06-23","Unknown","1.25","","","Avatars - Adjusting layout"
"2025-06-23","Unknown","0.50","","",""
"2025-06-23","Unknown","7.50","","",""
"2025-06-23","Unknown","0.75","","","STATUS Framework"
"2025-06-23","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-23","Unknown","8.00","","","Sidebar scrolling"
"2025-06-23","Unknown","3.50","","","Created a new view for the Courses page for the Graphics file. Worked on comments for Components file."
"2025-06-23","Unknown","0.75","","","Design Team STATUS Prep"
"2025-06-22","Unknown","8.00","","","1-on-1 Coaching feedback"
"2025-06-22","Unknown","4.58","","","Updated V1 of the sponsors part of the booklet to V3; and then created V6 V6II"
"2025-06-22","Unknown","8.00","","","Document template - Problem Solution; Adjusting layouts"
"2025-06-21","Unknown","6.00","","","Document template - Adjusting layouts"
"2025-06-21","Unknown","3.83","","","Finished V5 of The Sponsors part of the booklet and continued with V3"
"2025-06-21","Unknown","8.00","","","Avatars - Adjusting layout Document template - Choosing the Right Legal Structure; Industry Trends; SWOT Analysis"
"2025-06-20","Unknown","0.50","","",""
"2025-06-20","Unknown","5.00","","","Avatars - Adjusting layout Document template - Ensuring variables"
"2025-06-20","Unknown","3.50","","","Continue with Editing V3 and V4 of the Sponsors/ Our Partners Page of the Booklet"
"2025-06-20","Unknown","0.50","","",""
"2025-06-20","Unknown","7.50","","",""
"2025-06-20","Unknown","0.50","","","Design team sync"
"2025-06-20","Unknown","1.00","","","Design team and Mile 1to1 meetings."
"2025-06-20","Unknown","0.25","","","STATUS"
"2025-06-20","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-06-20","Unknown","8.50","","","fix correct contend data of completed events"
"2025-06-20","Unknown","5.00","","","Fixed feedback from Mike and Avraham for Graphics."
"2025-06-20","Unknown","0.25","","","STATUS Demo prep"
"2025-06-19","Unknown","8.00","","","Appflowy helm charts"
"2025-06-19","Unknown","8.00","","","1-on-1 Coaching"
"2025-06-19","Unknown","0.50","","",""
"2025-06-19","Unknown","3.00","","","Avatars - Adjusting layout Document template - Ensuring variables"
"2025-06-19","Unknown","0.75","","","Document Template - Industry Trends; Customer Interviews"
"2025-06-19","Unknown","1.00","","","Hamin onboarding"
"2025-06-19","Unknown","8.00","","",""
"2025-06-19","Unknown","2.50","","","Avatars - Adjusting layout Document Template - Value Preposition"
